,category,text
0,жалоба на продукты услуги bankname,акц комфортел num регион свердловская область населенный пункт с потруши вопрос клиента приходят ошибочно смс не понятного содержания о name что у меня арестован счет арест средств
1,жалоба на продукты услуги bankname,акц комфортел num регион карачаево черкесская республика населенный пункт карачаевск вопрос клиента по какой причине сб отказывает в получении потребительский кредита если кредитная история не нарушена
2,смс рассылка,клиент утверждает что является bankname с февраля num г клиенту на номер num с номера num поступает смс о name что нужно погасить долг по кредиту просьба отключить смс с данного номера телефона
3,благодарность,хочу выразить большую благодарность сотруднице bankname эляй name за решение моего проблемного вопроса который не разрешался в течении года до этого ни кто name сотрудников не обладал такой целеустремлённостей в решении моего вопроса
4,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет num карты счета вклада num вопрос клиента причина кто наложил арест ответ просит получить телефонным звонком
5,причина кто наложил арест,акц комфортел num всп bankname в котором ведется счет name обл г name ул name 14 карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента причина кто наложил арест
6,вопрос,обращения num от date как долго продлится рассмотрение данного вопроса у меня 1 группа инвалидности и данная сумма просто необходима для приобретения инвалидной коляски постоянно ожидать то 20 то 30 теперь 60 дней каковы окончательные сроки
7,отключение рекламных рассылок,акц комфортел num территориальный bankname московский bankname телефона отправителя смс уведомления num телефона на который поступило смс num вопрос клиента необходимо отключить смс рассылку
8,вопрос,добрый день на данный момент гражданин россии находится в молдове и задает вопрос в bankname какого местного bankname он может снять средства с наименьшими потерями заранее спасибо
9,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента поступвют звонки постоянно просит прекратить
10,претензия,верните мне мой мобильный bankname у меня нет вирусов на телефоне как снимать с меня абонентскую плату вы не спрашиваете про вирусы а когда я переводы делаю так вы меня блокируете
11,статус исполнительного документа,акц комфортел num всп bankname в котором ведется счет г москва name 25 карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента статус исполнительного документа
12,смс рассылка,акц ик num клиенту поступают сообщения о задолжностях по кредитной карте оформленных на другого человека просьба клиента не направлять ему подобные сообщения исключить его номер name адресной рассылки
13,вопрос,добрый день вопрос хочу взять кредит в вашем bankname но по 2ндфл у меня num на какую сумму я могу расчитывать по форме bankname на работе мне справку не дают спасибо
14,получение информации,могу ли я в чехии рассчитаться моей зарплатной картой tr num по какому курсу будет производится эта оплата смогу ли снять наличные если tr в европе не принимают то можно поменять карту на tr
15,жалоба на продукты услуги bankname,акц комфортел num регион name область населенный пункт зеленоград вопрос клиента приходит сообщения на name name о предоставлении кредита с номера прошу настоятельно отключить данное сообщение
16,получение информации,в num году взяли ипотеку кредитный договор num под 12 годовых платим исправно сейчас ставка по ипотеке составляет 10 9 можем ли мы понизить до этого процента свой кредит
17,жалоба на продукты услуги bankname,акц комфортел num регион челябинская область населенный пункт челябинск вопрос клиента выписку по кредиту не выдает дочке заемщику в офисе num челябинское отделение пао bankname так как она не является созаемщиком
18,мобильный bankname,столкнулся с такой проблемой что устанавливая мобильный bankname после проверки на вирусы появляется ошибка связанная с name но телефон в состояний почти только с name и никакого name на нем не было
19,обслуживание,акц ик num отделение города новочебоксарска name 20 номер отделения num отказывает в выдаче наличных денежных средств клиенту с его bankname книжек оператор name клиент просит ответ получить по телефону
20,жалоба связана с услугой bankname онлайн,акц комфортел num регион краснодарский край населенный пункт красногвардейское вопрос клиента непоступление денежных средств при переводе через bankname онлайн
21,жалоба,добрый день исходя name вашего ответа можно сделать вывод что сотруднику лучше не выдать кредит чем выдать его без страховки верно и получить на кредит на условиях специального предложения я не могу то есть bankname не нужна прибыль
22,жалоба на продукты услуги bankname,акц комфортел num регион город санкт петербург населенный пункт санкт петербург вопрос клиента клиенту bankname по словам клиента заявление по карте никак не могут рассмотреть от 16 октября num года номер всп num
23,bankname,с утра пытаюсь на карту деньги пополнить через bankname в махачкале улица name 37 но ни один не работает приходится ждать пока откроют bankname до 10часов очень не удобно
24,жалоба,акц аудиотеле num со слов клиента клиент недоволен количеством терминалов и bankname расположенных в г ликино дулево московской области со слов клиента особенно возникает проблема со вносом наличных средств на карту
25,возврат денежных средств,num произошло списание платы за овердрафт в размере 6 56р с моей карты виза num данное списание считаю не правомерным прощу разобраться и вернуть денежные средства спасибо
26,консультация,здравствуйте на данный момент нахожусь в стоп листе bankname возможно ли как то выйти name него или что то еще чтобы возможно было пользоваться услугами данного bankname г хабаровск
27,статус исполнительного документа,акц комфортел num всп bankname в котором ведется счет уфа реворлюционная 57 карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента статус исполнительного документа
28,жалоба на недозвон в урпзфл,акц комфортел num номер телефона на который обращался клиент num номер телефона с которого звонил клиент num вопрос клиента подовал документы на реструктуризацию кредита и на протяжение 2 5 недель нету ответа
29,отключение рекламных рассылок,акц комфортел num номер на который поступают звонки num номер с которого поступают звонки num вопрос клиента клиент желает исключить свой номер от данного обзвона
30,кредит,как рассчитать кредит для пенсионера в омске семья name двух пенсионеров получающих пенсию через ваш bankname в сумме num и num под какой процент на срок 24 месяца и на сумму num возраст женщина 59 лет и мужчина 60 лет нужна консультация и расчет
31,статус исполнительного документа,акц комфортел num всп bankname в котором ведется счет белгород карты счета вклада num дата подачи документов на снятие наложение ареста date вопрос клиента статус исполнительного документа
32,жалоба на продукты услуги bankname,акц комфортел num регион республика саха якутия населенный пункт якутия вопрос клиента звончт сотрудники bankname по неизвестному мне человеку name name просьба прекратить эти звонки
33,жалоба связана с услугой bankname онлайн,акц комфортел num регион тюменская область населенный пункт г лянкор вопрос клиента через сбол ввела свои реквизиты но система сбол перенаправила на другие реквизитвы
34,многозвонящий клиент,акц комфортел num многозвонящий клиент екатеринбург клиент интересуется почему в крыму bankname не может открыть дополнительный офис bankname просит повлиять на данный вопрос
35,общие обращения,акц комфортел num адрес эл почты с которого поступило сообщение email адрес эл почты на который поступило сообщение email вопрос клиента отключить всю рекламную рассылку от bankname
36,жалоба на продукты услуги bankname,акц комфортел num регион забайкальский край населенный пункт с калга вопрос клиента клиент жалуется на то что по социальной карте не происходит начисление процентов а именно 3 5
